application_id,bureau_score,num_bureau_inquiries,open_credit_lines,last_delinquency_date
50452,723,2,13,2024-01-16
50194,777,1,13,
50107,784,2,10,
50048,515,1,11,
50209,705,3,13,
50380,837,3,11,
50085,677,5,2,2024-02-27
50003,734,2,1,2024-01-17
50384,694,0,1,2023-12-08
50437,805,2,14,
50426,828,7,14,
50364,826,2,14,2025-03-26
50469,758,2,5,
50060,696,2,7,2023-05-23
50166,848,3,9,
50291,655,4,7,2022-02-19
50448,527,5,8,
50301,554,0,5,2023-10-06
50160,675,0,2,2022-07-12
50226,575,0,14,
50445,673,6,4,
50210,621,2,2,
60018,629,3,6,
50295,688,6,1,2022-06-20
50404,704,3,10,
50005,723,1,11,2025-10-31
50202,687,4,2,2025-08-18
50289,595,3,6,
50019,732,2,9,
50096,557,2,1,2024-09-01
50051,780,1,13,
50485,626,5,2,2025-10-08
50222,684,1,2,2024-09-15
50336,686,1,10,
50058,664,2,9,
50436,694,3,2,2022-06-14
50187,724,0,11,
50118,653,3,11,
50272,801,2,8,2025-01-11
50179,735,3,7,
50475,663,2,14,
50265,846,2,9,
50421,785,1,2,2025-04-06
50359,757,3,6,2025-03-07
50425,601,3,14,2024-03-25
50207,750,2,1,
50033,646,2,6,
50252,682,3,12,
50273,697,2,9,
50339,651,2,4,
50170,775,4,6,
50018,527,4,11,
50427,566,2,4,
50367,648,4,11,
50178,586,6,2,2023-10-14
50403,708,3,12,2022-03-26
50444,657,2,3,
50063,748,1,14,2023-06-23
50408,641,2,7,
50231,729,4,7,2023-06-24
50479,591,1,12,2025-08-20
50430,722,3,14,
50247,781,0,11,
50232,778,3,4,2023-08-28
50016,731,4,13,
50149,670,4,5,2024-08-06
50330,600,3,13,
50258,553,3,9,2023-11-06
50115,653,1,8,
50340,690,1,14,
50487,693,1,3,
50453,622,4,13,
50306,715,0,8,2023-07-20
50308,584,3,14,2025-10-30
50106,669,3,2,2023-01-27
50376,592,1,9,
50500,647,4,3,2022-05-13
50103,667,3,8,2025-01-15
50303,615,1,1,
50094,762,1,14,2024-09-15
60012,780,3,14,
50372,762,4,11,
50176,719,2,9,2023-09-06
50024,692,3,14,
50208,613,1,4,
50082,688,6,3,2022-12-16
50268,681,1,13,
50188,697,0,14,
50032,585,5,4,
50040,548,2,12,2022-05-22
50076,504,3,13,2023-07-26
50035,739,3,7,2023-10-29
50467,641,4,14,2025-02-04
50465,812,3,3,
50095,709,2,14,2022-12-12
50282,556,1,12,
50113,714,2,11,
50156,697,1,10,
50415,628,6,5,
50244,719,5,14,
50043,710,6,12,
50132,629,5,13,
50411,727,3,4,
60007,680,6,3,
