application_id,application_date,applicant_age,annual_income,credit_score,employment_status,home_ownership,num_dependents,existing_debt,loan_amount,loan_term_months,loan_status
50371,2025-05-10,45,43758.97,616.0,Employed,Own,4,12518.82,9752.64,60,Denied
50011,2024-08-29,38,45217.69,620.0,Retired,Rent,4,5666.03,19147.71,12,Approved
50114,2024-04-22,27,96004.99,694.0,Employed,Mortgage,4,10532.49,19599.25,12,Approved
50360,2025-01-25,41,,552.0,Employed,Mortgage,0,15389.53,19944.8,36,Approved
50126,2025-02-25,57,54634.39,684.0,Self-Employed,Own,3,4641.95,32464.02,24,Pending
50285,2025-04-11,22,25066.0,714.0,Employed,Mortgage,0,8200.06,36777.18,12,Pending
50297,2024-02-08,39,64038.34,521.0,Employed,Rent,4,6796.67,16293.92,36,Approved
50223,2024-04-18,52,23832.68,567.0,Employed,Mortgage,4,8739.89,1000.0,36,Approved
50392,2024-07-29,44,28590.72,764.0,Employed,Mortgage,3,7101.31,23595.98,48,Approved
50200,2025-07-07,40,105077.22,722.0,Employed,Mortgage,3,6676.52,13656.46,12,Approved
50293,2024-06-26,52,77787.93,641.0,Employed,Rent,3,10677.63,22373.61,24,Approved
50122,2024-07-06,63,47906.84,771.0,Retired,Rent,2,109.35,15112.52,12,Approved
50192,2025-06-05,68,104594.71,707.0,Employed,Mortgage,1,1412.14,16588.58,60,Approved
50423,2025-04-21,59,66451.69,690.0,Unemployed,Rent,4,0.0,16512.93,48,Pending
50393,2025-04-24,54,15000.0,640.0,Employed,Own,4,3579.23,27772.67,24,Approved
50266,2025-04-02,46,34067.39,677.0,Self-Employed,Rent,1,10548.8,21266.11,24,Denied
50198,2024-08-20,24,93875.86,586.0,Employed,Rent,1,11121.62,10016.74,48,Approved
50471,2025-01-08,33,53190.22,798.0,Employed,Own,0,10683.55,1810.23,60,Approved
50460,2024-03-28,63,32812.59,781.0,Employed,Rent,3,5650.99,8192.06,60,Approved
50116,2025-07-03,61,15000.0,706.0,Unemployed,Mortgage,3,7003.1,21237.88,60,Approved
50025,2025-06-19,68,63585.98,510.0,Self-Employed,Mortgage,4,9618.72,20960.08,24,Approved
50352,2025-10-01,44,37072.84,690.0,Employed,Mortgage,4,13510.19,25815.59,12,Approved
50059,2025-05-16,69,38368.56,618.0,Unemployed,Rent,0,8731.24,13570.34,12,Denied
50118,2025-09-07,28,50798.92,690.0,Employed,Own,0,14545.83,11090.59,36,Approved
50119,2025-08-14,59,58492.85,581.0,Employed,Rent,2,2985.11,16097.55,60,Pending
50100,2025-05-10,44,54780.97,767.0,Self-Employed,Mortgage,3,5053.23,20119.89,12,Approved
50098,2024-06-13,24,41889.81,724.0,Self-Employed,Own,4,2654.12,25567.07,36,Approved
50237,2024-03-09,44,85839.63,758.0,Unemployed,Rent,0,5525.06,23997.08,24,Pending
50404,2025-09-12,40,65279.37,671.0,Employed,Rent,1,12277.01,26398.06,12,Denied
50454,2025-09-08,64,53221.63,734.0,Employed,Own,4,10414.32,24739.98,24,Approved
50282,2024-05-03,51,84656.57,710.0,Employed,Own,3,3561.28,19348.67,60,Approved
