application_id,application_date,applicant_age,annual_income,credit_score,employment_status,home_ownership,num_dependents,existing_debt,loan_amount,loan_term_months,interest_rate,loan_status,internal_notes
50480,2024-10-07,37,27203.68,692.0,Self-Employed,Own,2,7548.24,24339.94,60,5.72%,Denied,
50246,2024-05-01,39,36168.33,687.0,Retired,Own,2,11490.49,21021.7,12,N/A,Denied,
50440,2025-08-26,49,15000.0,588.0,Self-Employed,Rent,2,6861.58,8437.74,60,10.64%,Approved,
50142,2024-02-08,59,39786.78,654.0,Employed,Own,3,17564.51,20416.29,12,3.11%,Denied,
50131,2025-08-06,66,15000.0,589.0,Self-Employed,Own,4,6795.35,15167.07,48,13.08%,Pending,
50199,2025-08-05,59,43023.79,610.0,Self-Employed,Own,0,12868.77,6190.66,24,2.9%,Pending,
50251,2024-06-22,40,73250.29,741.0,Employed,Mortgage,1,3840.62,12959.77,60,6.07%,Denied,
50399,2024-12-07,32,63517.27,612.0,Employed,Mortgage,2,22445.35,4640.96,24,4.45%,Approved,
50330,2025-03-24,56,41795.47,659.0,Employed,Rent,2,18953.17,7053.62,36,8.21%,Approved,
50133,2024-04-01,39,68015.06,674.0,Employed,Rent,3,21003.54,18558.87,36,7.6%,Pending,
50220,2024-07-11,25,59863.24,724.0,Employed,Own,0,6727.42,14211.04,36,6.51%,Approved,
50054,2024-02-18,24,39846.44,784.0,Employed,Mortgage,1,2173.15,10989.08,36,6.58%,Approved,
50253,2024-12-05,39,99345.15,584.0,Employed,Rent,2,10475.23,6267.65,24,11.51%,Pending,
50348,2025-05-02,62,43018.5,452.0,Employed,Mortgage,2,5444.12,5346.98,24,8.14%,Approved,
50226,2025-04-07,56,68222.97,669.0,Retired,Own,3,0.0,22660.81,36,12.19%,Approved,
50468,2024-10-18,25,43959.76,771.0,Employed,Mortgage,1,3211.53,20087.6,12,6.78%,Denied,
50301,2025-08-22,28,68288.95,680.0,Self-Employed,Rent,2,9657.11,14896.35,24,5.83%,Pending,
50097,2025-04-14,34,73007.85,711.0,Employed,Rent,4,11201.57,9147.91,12,5.62%,Approved,
50311,2025-07-13,39,15100.74,554.0,Employed,Mortgage,1,10281.07,9560.0,12,2.59%,Denied,
50444,2025-03-02,64,,688.0,Employed,Mortgage,2,14980.93,12958.16,60,10.91%,Denied,
50106,2024-05-24,44,61309.55,607.0,Employed,Own,1,6804.38,1000.0,12,9.79%,Denied,
50356,2025-07-18,49,57973.08,541.0,Employed,Rent,4,14039.03,26538.79,24,7.48%,Approved,
50318,2024-09-21,46,49800.3,668.0,Employed,Rent,4,1863.21,26848.09,36,4.01%,Approved,
50203,2025-09-29,39,18263.82,517.0,Employed,Rent,4,13946.75,1000.0,12,9.9%,Pending,
50207,2025-05-03,62,91237.35,570.0,Employed,Own,3,5376.6,7108.2,60,6.09%,Approved,
50456,2024-02-28,30,67528.67,654.0,Employed,Rent,3,7406.34,15007.17,12,5.15%,Denied,
50439,2024-12-12,57,68317.97,734.0,Employed,Own,1,1941.87,12599.5,48,6.75%,Approved,
