application_id,application_date,applicant_age,annual_income,credit_score,employment_status,home_ownership,num_dependents,existing_debt,loan_amount,loan_term_months,loan_status
50246,2024-05-01,39,36168.33,687.0,Retired,Own,2,11490.49,21021.7,12,Denied
50157,2025-06-02,30,80731.51,572.0,Self-Employed,Mortgage,0,9569.19,21593.36,24,Approved
50351,2025-08-02,50,58815.37,665.0,Employed,Mortgage,1,7972.52,18663.19,48,Approved
50193,2024-07-13,58,45682.08,579.0,Employed,Rent,1,6061.0,20114.13,60,Denied
50318,2024-09-21,46,49800.3,668.0,Employed,Rent,4,1863.21,26848.09,36,Approved
50414,2024-10-12,34,65793.56,652.0,Employed,Mortgage,4,5039.03,22026.64,12,Approved
50490,2024-06-26,37,15000.0,722.0,Self-Employed,Mortgage,3,10851.98,1000.0,60,Approved
50491,2025-07-11,46,,649.0,Employed,Rent,3,16270.55,20972.62,12,Pending
50173,2025-04-05,35,80765.46,639.0,Employed,Own,4,14229.2,20700.3,60,Denied
50259,2025-05-26,26,88911.12,621.0,Self-Employed,Rent,4,18342.92,18583.84,36,Pending
50275,2024-10-10,61,63124.34,722.0,Retired,Rent,4,434.9,22303.03,36,Approved
50047,2025-07-05,52,48039.59,690.0,Employed,Rent,4,16499.63,3230.34,24,Approved
50239,2025-01-25,51,80981.5,678.0,Employed,Mortgage,2,14928.97,12011.12,36,Denied
50485,2025-07-28,33,63615.17,452.0,Self-Employed,Mortgage,2,13774.28,12549.75,36,Approved
50408,2024-05-13,40,,778.0,Retired,Mortgage,3,15815.75,20033.43,48,Approved
50148,2024-11-03,35,22732.35,768.0,Employed,Rent,1,107.49,13965.53,12,Denied
50315,2024-01-06,32,79229.59,552.0,Employed,Own,1,9932.59,7270.4,36,Approved
50052,2025-05-16,57,83741.25,729.0,Employed,Mortgage,4,6147.13,24916.54,60,Approved
50378,2024-08-02,54,71370.89,702.0,Employed,Mortgage,1,16603.88,15171.38,24,Approved
50292,2024-04-12,50,22335.38,765.0,Employed,Rent,3,33.27,19943.31,48,Approved
50201,2025-06-17,67,92083.59,672.0,Employed,Mortgage,2,2384.09,9603.62,12,Approved
50218,2024-02-26,36,60295.51,795.0,Self-Employed,Own,4,18507.11,19583.23,36,Pending
50347,2025-04-26,55,95599.39,708.0,Employed,Mortgage,2,6731.53,1000.0,24,Approved
50316,2024-04-14,46,38910.31,640.0,Self-Employed,Rent,4,13663.02,20839.04,48,Approved
50120,2025-07-07,52,31786.39,702.0,Unemployed,Rent,0,16164.22,1000.0,24,Pending
50310,2025-09-18,57,,755.0,Unemployed,Rent,1,10217.47,10885.68,12,Approved
50322,2024-11-25,69,27375.11,740.0,Retired,Mortgage,1,2653.45,14445.6,36,Denied
50475,2025-07-02,65,38588.63,623.0,Retired,Mortgage,1,9996.45,9371.9,60,Denied
50125,2025-03-30,46,17195.28,598.0,Employed,Rent,0,17513.77,7937.64,36,Approved
50294,2024-04-01,31,63983.8,576.0,Retired,Own,3,4992.64,20428.69,60,Pending
50176,2025-08-06,63,15000.0,716.0,Employed,Rent,1,3121.12,19922.54,48,Approved
50303,2025-06-12,53,50840.06,745.0,Employed,Mortgage,3,14300.59,11819.58,24,Denied
50178,2024-12-13,62,47545.87,715.0,Employed,Rent,2,8494.44,10290.6,12,Approved
50263,2025-02-07,22,64603.15,753.0,Employed,Own,3,0.0,7712.92,36,Denied
50225,2024-01-23,56,124576.46,563.0,Employed,Rent,2,4787.61,16417.47,60,Denied
50186,2024-12-17,34,99327.66,690.0,Employed,Rent,4,7332.17,4290.26,24,Approved
50110,2024-07-03,45,82438.94,667.0,Employed,Mortgage,3,6823.44,12345.49,12,Approved
50343,2024-09-27,31,93033.76,718.0,Self-Employed,Mortgage,2,0.0,25401.62,24,Denied
50496,2024-12-15,60,59130.64,784.0,Self-Employed,Mortgage,1,16728.83,18899.57,24,Denied
50072,2025-08-07,34,87161.76,767.0,Employed,Rent,4,9037.31,13194.49,24,Denied
50330,2025-03-24,56,41795.47,659.0,Employed,Rent,2,18953.17,7053.62,36,Approved
50054,2024-02-18,24,39846.44,784.0,Employed,Mortgage,1,2173.15,10989.08,36,Approved
50331,2024-02-07,25,47475.61,560.0,Employed,Mortgage,1,1182.64,15663.48,24,Pending
50464,2024-08-12,25,32298.53,625.0,Employed,Rent,4,5474.66,3504.07,48,Approved
50317,2024-12-20,48,77985.94,735.0,Employed,Mortgage,2,24043.45,11620.13,48,Approved
50071,2024-08-04,66,49829.2,598.0,Employed,Own,0,14403.17,18402.94,24,Pending
50032,2025-09-16,68,81792.9,637.0,Self-Employed,Own,2,11930.87,15859.98,24,Approved
50007,2024-01-08,63,58820.09,601.0,Self-Employed,Mortgage,2,10684.3,19024.31,12,Pending
50133,2024-04-01,39,68015.06,674.0,Employed,Rent,3,21003.54,18558.87,36,Pending
50420,2024-06-23,31,29995.12,558.0,Employed,Rent,3,7855.48,12055.18,36,Denied
50394,2024-02-17,53,90645.56,667.0,Employed,Own,0,9112.01,11464.06,12,Pending
50469,2024-02-16,33,51250.67,595.0,Employed,Mortgage,1,3545.13,5548.32,24,Approved
50357,2024-03-25,61,59293.63,759.0,Retired,Rent,1,15706.74,14205.58,12,Approved
50203,2025-09-29,39,18263.82,517.0,Employed,Rent,4,13946.75,1000.0,12,Pending
50050,2024-04-06,30,69318.04,,Retired,Mortgage,3,10882.4,11937.91,36,Approved
50243,2024-01-30,59,73211.86,539.0,Unemployed,Mortgage,1,2953.16,14751.29,48,Denied
50324,2024-01-12,22,62874.44,850.0,Employed,Mortgage,3,8754.63,1000.0,60,Approved
50474,2025-08-21,51,69154.39,690.0,Employed,Rent,3,5483.82,28238.44,24,Approved
50123,2025-09-04,68,72175.8,617.0,Employed,Rent,0,13514.46,2407.6,24,Approved
50267,2025-07-25,23,15000.0,680.0,Self-Employed,Own,2,1833.07,16512.91,12,Approved
50366,2025-04-07,57,107720.7,688.0,Employed,Own,4,7678.04,16770.04,48,Pending
50304,2024-05-23,63,74541.17,642.0,Employed,Own,4,570.65,22009.13,36,Denied
50181,2024-01-27,63,55261.72,573.0,Self-Employed,Rent,2,16997.2,27347.33,12,Approved
50179,2024-08-13,31,46687.62,838.0,Employed,Rent,3,10912.97,13060.96,60,Denied
50144,2024-11-25,54,43807.98,694.0,Self-Employed,Own,0,7659.31,3731.68,36,Denied
50190,2024-03-16,26,106639.24,692.0,Employed,Rent,0,8918.1,5667.62,48,Approved
50441,2024-11-15,64,39182.9,714.0,Self-Employed,Rent,0,0.0,21799.77,12,Approved
50320,2024-02-15,48,66277.06,755.0,Employed,Mortgage,0,14974.58,20211.14,12,Denied
50425,2024-10-29,38,63301.94,732.0,Employed,Mortgage,2,179.07,19123.6,24,Approved
50139,2025-09-19,23,97001.07,583.0,Retired,Mortgage,4,9941.01,14320.31,48,Approved
50150,2025-09-09,67,89727.08,644.0,Employed,Mortgage,1,21161.37,15976.19,48,Denied
50073,2025-07-26,42,63346.0,751.0,Retired,Mortgage,3,1463.14,14416.42,24,Approved
50152,2025-08-19,59,91952.19,689.0,Employed,Rent,2,8537.19,12742.7,60,Denied
50115,2025-09-14,45,93971.5,713.0,Self-Employed,Own,3,3298.94,10960.61,12,Denied
50355,2024-03-24,48,82033.61,743.0,Employed,Rent,1,7506.08,6021.61,48,Approved
50184,2024-01-20,23,51858.5,654.0,Employed,Own,4,9797.93,12547.46,12,Approved
50127,2024-04-04,51,46766.45,642.0,Self-Employed,Mortgage,3,5631.25,20972.89,48,Approved
50452,2025-05-03,48,95583.55,770.0,Employed,Own,3,7445.09,22047.94,24,Approved
50356,2025-07-18,49,57973.08,541.0,Employed,Rent,4,14039.03,26538.79,24,Approved
50461,2025-05-20,33,77544.15,823.0,Unemployed,Own,0,12218.82,27511.25,60,Approved
50453,2024-12-13,35,29646.73,672.0,Employed,Rent,4,10222.51,7282.68,36,Approved
50487,2024-02-29,32,35996.56,473.0,Self-Employed,Mortgage,2,12558.98,14421.93,12,Approved
50242,2024-06-04,28,65795.03,664.0,Retired,Rent,1,20873.01,12607.05,24,Approved
50014,2024-10-07,60,61755.2,544.0,Employed,Rent,3,2866.05,2136.41,48,Approved
50102,2024-02-10,64,59874.86,733.0,Employed,Own,2,10254.69,17911.53,12,Denied
50001,2024-01-07,23,21113.81,660.0,Retired,Mortgage,4,259.34,11710.38,24,Pending
50416,2024-05-31,55,72536.68,527.0,Employed,Rent,4,1919.89,24922.69,60,Pending
50101,2024-07-14,33,,701.0,Employed,Rent,1,11841.44,1000.0,60,Approved
50065,2024-06-22,54,64737.54,616.0,Employed,Own,3,0.0,22820.24,24,Approved
50189,2025-02-11,60,73869.98,641.0,Unemployed,Own,1,2376.38,8542.39,60,Denied
50262,2024-03-15,60,20747.15,787.0,Unemployed,Mortgage,4,12382.3,22938.14,48,Approved
50104,2025-02-19,58,87624.62,563.0,Employed,Rent,3,17651.55,5207.25,60,Denied
50277,2024-05-14,58,47914.52,696.0,Self-Employed,Rent,1,12371.95,16880.19,12,Denied
50199,2025-08-05,59,43023.79,610.0,Self-Employed,Own,0,12868.77,6190.66,24,Pending
50364,2024-05-28,61,59369.27,651.0,Retired,Mortgage,4,5922.87,5534.01,36,Approved
50327,2024-08-25,52,64574.87,726.0,Retired,Rent,0,3423.53,16988.27,36,Approved
50387,2025-06-15,26,57223.08,638.0,Self-Employed,Mortgage,2,2370.89,18830.67,24,Approved
50359,2025-09-21,28,59751.12,576.0,Employed,Rent,3,6429.71,5956.04,48,Approved
50191,2025-01-19,38,85924.79,659.0,Employed,Rent,3,8883.5,18445.84,48,Approved
50169,2024-01-09,49,79460.77,757.0,Employed,Rent,4,7838.71,15881.34,36,Denied
50158,2025-08-17,32,23982.81,610.0,Employed,Own,1,5691.95,21713.15,60,Pending
50286,2024-11-21,23,44366.01,717.0,Employed,Rent,2,11386.09,16529.71,48,Approved
50447,2024-01-16,49,93393.9,779.0,Employed,Own,4,10100.96,13228.9,60,Approved
50272,2025-06-22,28,50290.06,703.0,Employed,Mortgage,1,5057.84,7224.75,48,Approved
50068,2024-10-17,31,39610.62,681.0,Self-Employed,Mortgage,0,5029.2,20081.92,60,Denied
50302,2024-11-16,27,54051.6,600.0,Employed,Own,0,0.0,6143.28,48,Approved
50472,2025-08-28,61,54009.78,641.0,Employed,Mortgage,2,0.0,6229.21,48,Approved
50278,2025-01-18,60,30914.35,651.0,Retired,Rent,2,13727.11,1000.0,60,Denied
50006,2024-05-31,32,98231.52,688.0,Employed,Own,3,10106.92,1000.0,24,Approved
50093,2024-04-05,21,80214.38,630.0,Unemployed,Rent,3,14826.55,27984.29,24,Pending
50197,2025-05-17,32,16176.89,708.0,Employed,Mortgage,1,2558.36,19377.27,24,Denied
50029,2024-06-30,54,89013.12,684.0,Employed,Own,0,7121.26,9020.47,60,Approved
50145,2024-12-29,28,67748.8,,Employed,Mortgage,3,0.0,17432.29,12,Denied
50220,2024-07-11,25,59863.24,724.0,Employed,Own,0,6727.42,14211.04,36,Approved
50463,2025-08-04,41,58272.88,575.0,Employed,Own,4,1380.01,13919.08,60,Approved
50057,2024-11-18,43,69131.74,615.0,Employed,Rent,3,20363.74,22801.71,24,Approved
50202,2025-04-26,31,30002.47,604.0,Employed,Rent,3,10533.78,7585.84,12,Pending
50162,2025-08-29,64,38554.41,596.0,Employed,Rent,1,0.0,15509.08,24,Denied
50196,2024-06-24,42,48940.46,554.0,Employed,Mortgage,2,10805.02,10207.35,48,Approved
50015,2025-05-21,30,85839.21,557.0,Employed,Mortgage,1,17420.97,9821.13,36,Approved
50033,2025-01-15,31,59859.7,794.0,Retired,Mortgage,2,12761.45,9963.93,36,Approved
50276,2024-08-19,33,83948.44,663.0,Self-Employed,Mortgage,4,8536.1,21088.56,36,Denied
50028,2024-02-10,38,52386.82,592.0,Self-Employed,Rent,4,10547.55,2432.16,24,Denied
50451,2025-01-02,54,77045.96,840.0,Self-Employed,Own,3,8226.42,1981.44,24,Approved
50095,2025-03-01,36,23238.89,554.0,Employed,Mortgage,2,12197.11,9687.74,12,Pending
50308,2024-10-13,60,70129.93,597.0,Employed,Rent,0,7030.36,1000.0,48,Denied
50048,2024-10-25,26,56959.32,559.0,Employed,Rent,3,11025.05,1000.0,36,Denied
50299,2025-05-01,52,68560.11,794.0,Employed,Mortgage,1,12844.22,20366.88,60,Approved
50233,2025-06-22,22,45523.0,644.0,Employed,Own,1,14854.02,11498.82,60,Pending
50363,2025-02-01,63,70867.05,775.0,Employed,Own,4,11576.3,24699.07,12,Approved
50209,2024-11-18,31,77895.37,730.0,Employed,Rent,3,8.13,20666.02,12,Denied
50264,2024-01-30,62,76258.94,621.0,Employed,Own,4,19170.67,2549.4,36,Denied
50468,2024-10-18,25,43959.76,771.0,Employed,Mortgage,1,3211.53,20087.6,12,Denied
50323,2024-11-03,38,51007.28,590.0,Employed,Mortgage,4,19278.62,14216.03,48,Approved
50228,2024-07-10,47,41205.59,598.0,Employed,Mortgage,0,4833.88,20945.29,36,Approved
50160,2024-06-30,36,36763.15,580.0,Self-Employed,Mortgage,0,4362.76,15833.7,48,Denied
50332,2025-05-02,64,44141.37,780.0,Self-Employed,Own,4,10494.42,13636.99,36,Approved
50163,2025-04-29,51,77200.8,638.0,Employed,Own,2,3048.65,31401.66,48,Pending
50088,2024-04-29,43,75701.19,614.0,Employed,Rent,1,8162.27,10599.65,36,Pending
50254,2025-09-22,52,42764.31,585.0,Employed,Own,4,9224.31,17391.05,12,Approved
50008,2024-09-22,37,66825.36,697.0,Employed,Mortgage,3,7782.12,5781.64,60,Denied
50337,2024-04-18,61,31490.2,525.0,Employed,Own,0,14052.63,3789.01,36,Denied
50344,2024-08-03,64,79852.02,812.0,Retired,Own,0,5209.08,14324.61,24,Approved
50248,2024-04-21,22,60487.67,647.0,Self-Employed,Rent,2,16217.63,14652.02,36,Denied
50224,2025-02-13,24,15000.0,613.0,Employed,Own,4,12096.79,5116.28,12,Approved
50427,2024-01-31,33,66655.49,751.0,Employed,Own,4,6196.62,3101.46,36,Denied
50376,2024-09-21,36,63221.67,704.0,Employed,Mortgage,4,7934.69,3817.99,36,Approved
50339,2024-03-28,24,80337.86,833.0,Unemployed,Own,4,5161.92,11088.16,36,Approved
50080,2024-09-21,68,73581.17,568.0,Employed,Rent,2,7942.78,22461.38,24,Approved
50499,2025-01-22,38,87793.84,581.0,Employed,Rent,2,18024.71,25774.31,24,Approved
50368,2025-05-01,23,57803.68,671.0,Employed,Rent,1,17405.89,7415.61,36,Approved
50219,2025-08-15,21,74467.65,811.0,Employed,Rent,3,10216.56,1000.0,48,Denied
50121,2024-01-12,64,44621.41,714.0,Employed,Rent,1,5611.61,5405.62,36,Approved
50124,2024-08-17,33,38935.95,570.0,Self-Employed,Own,2,5967.59,1000.0,12,Approved
50341,2024-09-09,58,65691.19,683.0,Self-Employed,Own,0,17901.35,29424.96,36,Pending
50377,2025-07-13,67,58313.43,683.0,Self-Employed,Mortgage,4,0.0,19872.5,24,Approved
50140,2024-10-16,58,64493.95,647.0,Retired,Mortgage,0,7474.13,14556.92,60,Denied
50438,2025-06-22,51,44229.62,811.0,Employed,Rent,2,13258.13,18436.5,60,Approved
50213,2025-04-01,33,50387.4,575.0,Employed,Own,2,18501.63,5828.2,12,Approved
50494,2025-05-12,45,57920.88,624.0,Employed,Rent,0,2840.55,20994.21,12,Approved
50492,2024-04-29,21,24283.09,731.0,Employed,Rent,3,693.66,27070.1,48,Pending
50147,2025-02-18,59,74115.04,535.0,Employed,Own,2,18788.23,26817.56,60,Pending
50309,2025-01-13,45,114807.03,622.0,Retired,Mortgage,2,1802.81,20171.89,48,Approved
50481,2024-03-15,39,63790.27,621.0,Employed,Own,3,19958.9,17673.38,36,Denied
50260,2024-09-24,27,15000.0,682.0,Employed,Rent,0,8336.57,18845.68,60,Approved
50096,2024-04-29,42,45468.52,676.0,Retired,Rent,3,5752.07,14221.21,36,Denied
50108,2024-01-12,66,37487.52,538.0,Employed,Rent,1,11877.87,7537.58,36,Approved
50407,2024-01-16,50,45696.52,655.0,Self-Employed,Mortgage,3,13218.78,26137.32,12,Denied
50135,2025-04-18,69,63492.82,675.0,Employed,Rent,0,2306.75,30443.97,12,Approved
50457,2024-10-25,58,99419.69,647.0,Employed,Own,4,4207.09,10559.71,48,Approved
