application_id,application_date,applicant_age,annual_income,credit_score,employment_status,home_ownership,num_dependents,existing_debt,loan_amount,loan_term_months,loan_status
50268,2024-06-09,34,40136.54,822.0,Employed,Rent,4,2624.91,25296.52,36,Approved
50450,2025-01-07,48,83850.61,757.0,Unemployed,Own,3,2474.73,14442.07,12,Pending
50051,2024-02-05,47,90796.4,779.0,Self-Employed,Own,3,3275.59,13562.78,36,Approved
50046,2024-10-18,40,65742.86,643.0,Self-Employed,Mortgage,4,24055.83,1000.0,36,Denied
50435,2024-08-09,29,22444.31,583.0,Employed,Mortgage,3,9044.18,12537.76,48,Approved
50043,2025-06-23,33,48494.79,610.0,Employed,Mortgage,3,0.0,4915.57,36,Denied
50240,2025-02-17,54,43461.33,,Employed,Rent,2,5231.84,13404.12,24,Denied
50166,2024-01-27,54,56330.8,655.0,Retired,Rent,0,18924.87,3787.82,12,Approved
50183,2024-08-30,47,75301.68,533.0,Self-Employed,Rent,0,10688.95,9962.9,24,Denied
50361,2025-09-15,40,78188.13,643.0,Employed,Own,1,4913.03,7551.17,12,Approved
50138,2024-07-16,66,,709.0,Retired,Mortgage,4,11931.15,9302.83,60,Denied
50369,2024-07-02,62,49781.86,748.0,Employed,Rent,4,15603.11,24217.0,12,Denied
50002,2024-10-19,59,43849.96,585.0,Self-Employed,Mortgage,4,0.0,16016.53,24,Denied
50036,2025-02-15,28,66548.21,683.0,Employed,Own,3,7165.69,25499.88,48,Denied
50449,2025-07-02,57,92419.13,662.0,Employed,Own,3,8654.53,14493.48,60,Denied
50429,2024-07-23,46,15000.0,662.0,Unemployed,Own,1,15766.32,16718.58,12,Denied
50311,2025-07-13,39,15100.74,554.0,Employed,Mortgage,1,10281.07,9560.0,12,Denied
50273,2024-04-19,23,,608.0,Employed,Own,4,10199.83,15483.49,12,Approved
50325,2024-05-20,68,42769.67,682.0,Retired,Rent,2,4221.31,7525.51,36,Approved
50039,2025-07-28,29,48113.89,670.0,Employed,Own,4,7950.57,21593.45,48,Denied
50295,2024-07-06,38,59778.64,517.0,Employed,Own,1,0.0,9888.15,24,Approved
50171,2024-06-04,62,37280.65,678.0,Self-Employed,Mortgage,2,6534.82,14420.84,60,Approved
50459,2025-09-21,62,40357.81,717.0,Employed,Rent,3,15123.83,10364.17,24,Approved
50146,2024-04-07,58,88513.89,777.0,Employed,Own,4,6553.78,20566.5,12,Approved
50443,2024-03-30,47,35634.05,637.0,Employed,Mortgage,1,20766.14,8156.77,48,Approved
50270,2024-06-12,59,83314.04,771.0,Retired,Mortgage,4,11030.44,11829.21,12,Approved
50128,2024-08-24,26,45322.0,772.0,Employed,Own,3,9185.2,10653.44,24,Denied
50466,2025-08-15,61,72195.35,816.0,Employed,Own,4,9523.2,13437.97,12,Approved
50177,2025-05-07,32,67740.34,594.0,Employed,Mortgage,2,9089.1,18437.21,48,Approved
50185,2024-11-26,53,44821.04,787.0,Employed,Mortgage,2,7541.92,12088.8,36,Approved
50313,2025-03-26,65,76520.32,536.0,Employed,Mortgage,0,0.0,22661.61,60,Approved
50348,2025-05-02,62,43018.5,452.0,Employed,Mortgage,2,5444.12,5346.98,24,Approved
50291,2024-05-04,24,59423.93,554.0,Employed,Own,1,6481.94,22017.69,48,Approved
50413,2025-01-06,23,73419.46,633.0,Self-Employed,Own,1,19018.13,11101.42,48,Pending
50431,2024-08-15,48,85125.46,644.0,Employed,Mortgage,3,12799.21,20228.64,24,Approved
50103,2024-11-18,69,87031.8,561.0,Employed,Own,4,15449.51,6934.75,24,Approved
50418,2025-04-08,40,68881.48,447.0,Employed,Rent,2,4555.17,6223.5,60,Approved
50042,2025-06-21,37,60105.74,654.0,Employed,Own,3,5507.28,15374.31,12,Denied
50234,2025-01-29,24,52520.32,,Employed,Own,0,7181.47,21788.86,12,Approved
50365,2024-11-21,69,30458.81,609.0,Employed,Mortgage,4,8329.08,8863.66,24,Denied
50013,2025-02-27,36,49826.91,623.0,Retired,Own,2,17057.63,21122.46,48,Approved
50168,2024-05-04,45,54283.45,612.0,Employed,Rent,1,18306.64,8727.04,60,Denied
50049,2024-08-29,47,19239.57,747.0,Employed,Rent,3,8456.0,21542.67,12,Approved
50486,2024-07-21,45,100621.25,657.0,Employed,Rent,0,12763.32,14824.44,12,Approved
