date,total_applications,total_loan_volume,default_count
2024-01-01,21,329106.13,1
2024-01-02,17,256486.0,2
2024-01-03,23,363931.49,0
2024-01-04,23,338525.35,0
2024-01-05,15,231258.23,1
2024-01-06,7,106660.25,0
2024-01-07,9,145499.86,0
2024-01-08,20,324210.25,0
2024-01-09,21,263974.03,0
2024-01-10,19,220952.85,1
2024-01-11,25,412565.45,0
2024-01-12,24,402758.1,0
2024-01-13,9,121221.59,0
2024-01-14,10,122102.47,1
2024-01-15,24,363565.25,2
2024-01-16,20,327925.15,0
2024-01-17,24,424713.4,0
2024-01-18,20,315488.93,2
2024-01-19,26,375503.05,0
2024-01-20,9,122942.74,0
2024-01-21,9,135154.59,0
2024-01-22,22,320124.26,1
2024-01-23,28,377367.15,2
2024-01-24,24,433755.2,1
2024-01-25,23,406588.31,1
2024-01-26,23,384193.68,0
2024-01-27,10,136187.24,0
2024-01-28,10,162825.29,0
2024-01-29,26,414945.43,0
2024-01-30,26,407259.28,0
2024-01-31,31,523109.43,0
2024-02-01,24,382873.36,0
2024-02-02,24,386640.51,1
2024-02-03,9,143598.23,0
2024-02-04,11,170623.06,0
2024-02-05,29,357412.92,1
2024-02-06,25,378135.79,2
2024-02-07,23,325811.38,1
2024-02-08,23,300845.49,2
2024-02-09,28,490636.3,1
2024-02-10,11,193528.42,1
2024-02-11,11,187427.14,0
2024-02-12,24,369187.68,0
2024-02-13,27,459700.32,0
2024-02-14,26,390470.07,1
2024-02-15,27,413213.29,1
2024-02-16,29,387434.0,0
2024-02-17,11,171550.36,1
2024-02-18,11,165996.37,0
2024-02-19,26,339196.57,0
2024-02-20,27,402926.52,0
2024-02-21,28,416651.36,1
2024-02-22,22,389319.52,0
2024-02-23,25,408533.0,0
2024-02-24,10,150171.68,0
2024-02-25,10,153731.81,1
2024-02-26,25,376657.96,2
2024-02-27,30,440868.87,1
2024-02-28,23,307656.26,1
2024-02-29,29,428429.24,2
2024-03-01,21,291497.9,4
2024-03-02,10,131245.27,0
2024-03-03,10,157668.33,1
2024-03-04,27,420846.22,2
2024-03-05,27,332638.35,2
2024-03-06,28,414847.25,1
2024-03-07,24,395845.25,0
2024-03-08,24,398132.05,0
2024-03-09,11,181926.31,0
2024-03-10,10,150583.7,0
2024-03-11,21,288381.07,0
2024-03-12,21,280863.49,1
2024-03-13,22,341371.96,1
2024-03-14,26,404791.92,2
2024-03-15,25,423274.92,0
2024-03-16,11,183149.66,0
2024-03-17,9,133214.91,1
2024-03-18,24,315208.59,2
2024-03-19,26,377554.84,4
2024-03-20,23,352494.48,2
2024-03-21,25,367421.88,2
2024-03-22,21,296796.34,0
2024-03-23,9,138413.95,0
2024-03-24,9,128196.57,0
2024-03-25,19,267100.12,1
2024-03-26,24,371212.3,3
2024-03-27,21,302337.23,0
2024-03-28,23,353421.6,1
2024-03-29,24,369835.34,0
2024-03-30,9,119617.71,0
2024-03-31,10,142781.38,0
2024-04-01,22,377446.64,0
2024-04-02,20,265137.61,2
2024-04-03,21,248325.38,0
2024-04-04,16,195315.72,1
2024-04-05,17,255742.3,1
2024-04-06,7,105324.63,0
2024-04-07,7,103765.09,0
2024-04-08,22,370068.26,2
2024-04-09,18,197833.47,0
2024-04-10,19,296284.12,2
2024-04-11,24,416211.78,0
2024-04-12,19,252858.25,1
2024-04-13,9,129872.61,1
2024-04-14,7,97094.63,0
2024-04-15,19,259511.14,0
2024-04-16,17,246680.32,2
2024-04-17,19,325683.33,0
2024-04-18,22,390633.76,1
2024-04-19,14,202945.28,0
2024-04-20,8,142860.72,0
2024-04-21,8,120426.92,1
2024-04-22,17,299719.12,1
2024-04-23,15,222900.78,0
2024-04-24,19,288735.15,2
2024-04-25,17,264319.6,0
2024-04-26,19,375597.33,0
2024-04-27,7,113938.5,0
2024-04-28,9,125451.93,2
2024-04-29,18,296162.94,0
2024-04-30,15,216858.77,0
2024-05-01,19,271042.12,1
2024-05-02,19,310895.14,1
2024-05-03,22,331025.82,0
2024-05-04,8,123342.91,0
2024-05-05,8,120167.82,1
2024-05-06,22,341107.24,0
2024-05-07,14,218924.28,0
2024-05-08,16,193512.79,0
2024-05-09,15,239997.89,0
2024-05-10,17,229958.5,0
2024-05-11,5,64182.76,1
2024-05-12,8,119299.07,0
2024-05-13,17,257141.52,1
2024-05-14,13,181476.63,2
2024-05-15,15,243698.22,0
2024-05-16,19,246748.01,0
2024-05-17,20,287791.69,2
2024-05-18,10,141226.89,0
2024-05-19,11,164231.31,1
2024-05-20,19,292947.63,1
2024-05-21,15,202322.41,0
2024-05-22,12,193037.09,0
2024-05-23,19,286795.57,0
2024-05-24,16,194593.29,0
2024-05-25,7,84434.79,0
2024-05-26,7,104870.65,0
2024-05-27,18,264033.88,1
2024-05-28,22,326587.14,2
2024-05-29,19,284202.5,1
2024-05-30,18,276090.12,0
2024-05-31,16,262743.59,0
2024-06-01,6,80000.06,0
2024-06-02,7,92694.3,0
2024-06-03,19,253840.27,2
2024-06-04,24,370401.0,0
2024-06-05,20,337348.42,0
2024-06-06,22,315765.8,2
2024-06-07,18,202454.1,0
2024-06-08,6,74664.06,0
2024-06-09,7,96253.11,0
2024-06-10,18,254941.32,1
2024-06-11,27,388460.26,2
2024-06-12,18,271041.69,0
2024-06-13,23,334244.75,2
2024-06-14,18,298332.17,1
2024-06-15,9,125873.77,1
2024-06-16,9,123358.71,0
2024-06-17,21,330084.58,0
2024-06-18,21,266627.27,2
2024-06-19,19,296106.21,0
2024-06-20,23,348538.08,1
2024-06-21,20,295576.73,1
2024-06-22,7,121676.9,0
2024-06-23,7,98466.82,0
2024-06-24,23,416080.29,2
2024-06-25,27,395870.03,1
2024-06-26,23,300942.93,0
2024-06-27,23,347412.23,2
2024-06-28,24,321255.17,1
2024-06-29,11,152596.03,1
2024-06-30,10,155955.5,1
2024-07-01,22,348334.21,1
2024-07-02,27,379802.21,0
2024-07-03,25,412027.69,0
2024-07-04,29,485351.59,0
2024-07-05,25,428861.32,1
2024-07-06,8,126352.96,0
2024-07-07,8,136361.14,0
2024-07-08,30,365364.07,0
2024-07-09,30,435694.21,1
2024-07-10,25,342487.3,2
2024-07-11,24,364292.13,0
2024-07-12,30,424284.79,1
2024-07-13,9,132756.87,0
2024-07-14,9,160409.36,0
2024-07-15,28,412871.77,0
2024-07-16,25,390517.21,1
2024-07-17,27,395593.09,2
2024-07-18,26,392952.82,1
2024-07-19,28,420252.7,2
2024-07-20,13,203742.32,2
2024-07-21,11,184227.57,0
2024-07-22,29,506661.64,1
2024-07-23,21,324753.03,0
2024-07-24,28,444760.97,3
2024-07-25,25,331842.58,0
2024-07-26,24,356836.44,0
2024-07-27,10,164104.34,1
2024-07-28,11,179288.48,0
2024-07-29,31,474839.85,1
2024-07-30,25,408239.77,0
2024-07-31,29,456348.35,3
2024-08-01,27,453612.4,2
2024-08-02,28,432153.08,0
2024-08-03,13,188063.88,1
2024-08-04,12,186045.14,0
2024-08-05,33,349935.58,1
2024-08-06,29,451655.53,1
2024-08-07,27,257239.28,1
2024-08-08,29,360029.34,0
2024-08-09,30,470329.59,0
2024-08-10,12,188595.53,0
2024-08-11,11,145819.93,0
2024-08-12,30,417955.41,1
2024-08-13,30,511674.34,0
2024-08-14,37,528136.33,0
2024-08-15,35,642753.32,2
2024-08-16,27,404922.25,0
2024-08-17,12,187344.65,0
2024-08-18,10,174253.12,1
2024-08-19,28,425503.14,0
2024-08-20,31,418391.0,1
2024-08-21,33,489568.49,0
2024-08-22,28,418504.35,1
2024-08-23,28,362680.85,1
2024-08-24,9,131546.27,1
2024-08-25,12,166640.54,0
2024-08-26,26,426049.95,0
2024-08-27,28,421453.7,1
2024-08-28,27,393546.77,0
2024-08-29,29,430381.09,0
2024-08-30,24,368032.39,0
2024-08-31,10,159252.21,1
2024-09-01,14,189006.04,0
2024-09-02,25,335940.46,1
2024-09-03,26,433082.49,1
2024-09-04,35,503352.31,1
2024-09-05,38,489240.0,1
2024-09-06,25,391642.98,0
2024-09-07,11,172645.6,0
2024-09-08,12,152447.13,0
2024-09-09,34,521703.57,2
2024-09-10,25,402584.37,1
2024-09-11,28,435724.23,0
2024-09-12,31,494387.14,1
2024-09-13,29,373914.29,0
2024-09-14,11,170462.16,1
2024-09-15,11,160006.77,1
2024-09-16,24,342619.55,2
2024-09-17,27,440257.5,0
2024-09-18,27,464910.62,0
2024-09-19,28,495363.54,0
2024-09-20,25,424305.3,0
2024-09-21,11,163189.39,0
2024-09-22,12,186348.96,0
2024-09-23,27,436056.33,3
2024-09-24,28,425089.47,0
2024-09-25,27,410295.95,0
2024-09-26,26,422126.37,1
2024-09-27,24,357865.82,0
2024-09-28,11,152966.77,0
2024-09-29,10,143782.9,0
2024-09-30,32,510427.7,2
2024-10-01,30,450134.7,1
2024-10-02,27,418778.5,0
2024-10-03,23,368117.73,1
2024-10-04,22,317630.23,0
2024-10-05,11,177478.09,0
2024-10-06,10,155682.64,0
2024-10-07,26,341842.29,0
2024-10-08,19,326105.69,1
2024-10-09,27,384719.84,0
2024-10-10,26,325451.28,0
2024-10-11,21,282081.12,0
2024-10-12,9,121215.89,1
2024-10-13,10,150782.6,0
2024-10-14,24,350141.38,1
2024-10-15,23,333379.3,1
2024-10-16,23,366379.72,0
2024-10-17,22,341215.89,1
2024-10-18,24,371377.72,0
2024-10-19,11,171762.17,0
2024-10-20,6,95545.21,0
2024-10-21,22,260437.54,1
2024-10-22,23,332426.88,0
2024-10-23,23,269782.75,0
2024-10-24,21,316135.89,0
2024-10-25,17,254881.86,0
2024-10-26,9,149114.69,0
2024-10-27,11,184595.97,0
2024-10-28,18,275474.93,0
2024-10-29,25,356236.46,0
2024-10-30,21,330282.58,1
2024-10-31,22,312578.72,1
2024-11-01,19,284960.31,1
2024-11-02,8,131833.64,0
2024-11-03,10,141633.43,0
2024-11-04,23,372795.91,0
2024-11-05,27,432434.76,0
2024-11-06,25,339195.31,0
2024-11-07,23,378599.35,0
2024-11-08,27,433291.94,1
2024-11-09,9,136376.0,0
2024-11-10,10,138565.15,1
2024-11-11,21,287935.01,0
2024-11-12,22,312257.13,1
2024-11-13,19,300463.94,0
2024-11-14,25,339164.06,0
2024-11-15,18,281812.83,0
2024-11-16,10,131373.67,1
2024-11-17,8,117551.18,0
2024-11-18,25,379111.79,0
2024-11-19,24,448024.69,1
2024-11-20,27,349218.72,1
2024-11-21,24,412992.52,0
2024-11-22,17,258820.98,0
2024-11-23,9,140550.82,0
2024-11-24,7,106242.65,1
