account_id,customer_id,card_type,credit_limit,open_date,account_status,balance,utilization_ratio,delinquency_count,default_flag
ACC500259,CUST100179,Gold,8500,2024-12-14,Active,3787.92,0.4456,0,0
ACC500468,CUST100322,Standard,8200,2026-04-27,Active,3892.99,0.4748,0,0
ACC502702,CUST101838,platinum,8100,2025-01-29,Active,2748.88,0.3394,4,0
ACC503198,CUST102183,Gold,28700,2020-12-07,Closed,9552.12,0.3328,0,0
ACC500675,CUST100451,Gold,17300,2018-04-24,Active,3851.75,0.2226,1,0
ACC503072,CUST102093,Standard,14000,2022-11-02,Closed,6493.6,0.4638,1,0
ACC500017,CUST100011,Standard,15500,2021-09-08,Active,4185.71,0.27,1,0
ACC500851,CUST100576,Secured,12800,2020-04-26,Active,8088.74,0.6319,1,0
ACC503083,CUST102099,Standard,19100,2018-03-06,Active,1146.7,0.06,0,0
ACC502472,CUST101685,Gold,9800,2024-04-08,Active,3974.12,0.4055,1,0
ACC800000,CUST999900,Standard,15900,2025-09-21,Frozen,3677.39,0.2313,2,0
ACC502707,CUST101842,Platinum,14000,2026-03-18,Active,7536.03,0.5383,0,0
ACC502684,CUST101825,Secured,16200,2021-03-09,Active,6476.8,0.3998,0,0
ACC501804,CUST101231,Standard,11000,2026-02-02,Active,4384.92,0.3986,0,0
ACC501601,CUST101087,Gold,12600,2024-09-03,Active,4513.0,0.3582,1,0
ACC500342,CUST100235,Secured,8400,2023-02-22,Active,2814.2,0.335,3,1
ACC500356,CUST100245,Standard,20400,2026-07-17,Active,4251.11,0.2084,1,0
ACC502450,CUST101670,Gold,8400,2023-10-27,Active,2561.27,0.3049,1,0
ACC502929,CUST101996,Standard,27300,2025-07-03,Active,8603.17,0.3151,0,0
ACC501730,CUST101183,Gold,12600,2024-07-29,Active,9374.1,0.744,1,0
ACC502421,CUST101652,Gold,11900,2024-06-18,Active,9350.89,0.7858,1,0
ACC500431,CUST100295,Standard,14800,2025-01-18,Active,6549.36,0.4425,3,1
ACC501116,CUST100753,Gold,23500,2025-02-07,Active,10685.9,0.4547,1,0
ACC501382,CUST100932,Standard,18300,2020-07-19,Active,6408.27,0.3502,2,0
ACC502002,CUST101369,standard,6800,2026-05-25,Active,1335.08,0.1963,1,0
ACC501310,CUST100883,Platinum,13000,2026-07-28,Frozen,9383.75,0.7218,2,0
ACC503467,CUST102363,Platinum,9200,2020-12-11,Active,104.79,0.0114,0,0
ACC503309,CUST102261,Gold,17300,2020-06-01,Active,4458.01,0.2577,1,0
ACC500892,CUST100602,Standard,6600,2019-06-07,Active,2021.3,0.3063,2,0
ACC500037,CUST100025,Standard,17500,2026-04-14,Active,6978.28,0.3988,0,0
ACC501470,CUST100996,gold,15600,2020-01-09,Frozen,4756.2,0.3049,1,0
ACC503357,CUST102293,Standard,18800,2017-12-25,Active,1407.79,0.0749,0,0
ACC503248,CUST102219,Gold,6200,2017-05-21,Active,1092.63,0.1762,0,0
ACC502545,CUST101734,Gold,6900,2014-10-22,Active,5941.91,0.8611,3,0
ACC501268,CUST100852,standard,4100,2024-04-11,,1122.53,0.2738,0,0
ACC500972,CUST100656,Standard,14000,2024-06-04,Active,2659.55,0.19,0,0
ACC502224,CUST101520,Standard,13800,2015-07-20,Active,2402.71,0.1741,1,0
ACC500849,CUST100574,Standard,22100,2017-12-03,Closed,5445.99,0.2464,0,0
ACC503603,CUST102452,Platinum,19100,2024-12-01,Active,9507.35,0.4978,0,0
ACC502739,CUST101863,Standard,18200,2026-04-21,Active,5790.68,0.3182,0,0
ACC501459,CUST100989,Secured,13400,2021-08-08,Active,0.0,0.0,0,0
ACC502646,CUST101801,Platinum,23100,2023-08-14,Active,7875.88,0.3409,2,0
ACC500534,CUST100363,Standard,15600,2023-09-22,Active,10138.01,0.6499,0,0
ACC501611,CUST101093,Standard,18700,2023-01-08,Closed,3683.42,0.197,1,0
ACC500373,CUST100256,Standard,15800,2021-01-02,Active,9841.68,0.6229,5,0
ACC503405,CUST102320,Standard,11500,2024-10-25,Closed,4491.61,0.3906,1,0
ACC503071,CUST102092,Gold,12100,2022-03-14,Closed,57.35,0.0047,0,0
ACC503341,CUST102281,Gold,10600,2025-10-21,Active,5570.94,0.5256,0,0
ACC502141,CUST101468,Gold,15500,2017-12-08,Active,7681.4,0.4956,0,0
ACC500697,CUST100467,Standard,12000,2026-03-02,Active,5337.85,0.4448,1,0
ACC500137,CUST100094,Standard,23300,2024-05-24,Active,6658.96,0.2858,0,0
ACC501069,CUST100726,Standard,13200,2025-03-12,Active,965.0,0.0731,2,0
ACC501742,CUST101193,Standard,10300,2020-07-04,Active,8723.39,0.8469,3,0
ACC500739,CUST100496,Standard,11900,2020-08-19,Active,6510.18,0.5471,0,0
