account_id,statement_month,balance,credit_limit,utilization_ratio,minimum_payment_due,payment_status_dpd_bucket
ACC500001,2024-10-01,6064.15,11500,0.5273,121.28,0
ACC500001,2024-11-01,6419.68,11500,0.5582,128.39,0
ACC500001,2024-12-01,5738.76,11500,0.499,114.78,0
ACC500001,2025-01-01,5736.21,11500,0.4988,114.72,0
ACC500001,2025-02-01,6136.1,11500,0.5336,122.72,0
ACC500001,2025-03-01,5282.9,11500,0.4594,105.66,0
ACC500001,2025-04-01,5253.28,11500,0.4568,105.07,0
ACC500001,2025-05-01,4694.02,11500,0.4082,93.88,0
ACC500001,2025-06-01,4398.9,11500,0.3825,87.98,0
ACC500001,2025-07-01,3246.58,11500,0.2823,64.93,0
ACC500001,2025-08-01,3887.24,11500,0.338,77.74,0
ACC500001,2025-09-01,3723.56,11500,0.3238,74.47,0
ACC500002,2024-10-01,1167.56,5600,0.2085,25.0,0
ACC500002,2024-11-01,1018.3,5600,0.1818,25.0,0
ACC500002,2024-12-01,1209.29,5600,0.2159,25.0,0
ACC500002,2025-01-01,837.69,5600,0.1496,25.0,0
ACC500002,2025-02-01,1007.33,5600,0.1799,25.0,1
ACC500002,2025-03-01,1039.37,5600,0.1856,25.0,0
ACC500002,2025-04-01,1139.96,5600,0.2036,25.0,1
ACC500002,2025-05-01,1221.71,5600,0.2182,25.0,3
ACC500002,2025-06-01,1252.27,5600,0.2236,25.05,0
ACC500002,2025-07-01,1291.95,5600,0.2307,25.84,0
ACC500002,2025-08-01,1043.18,5600,0.1863,25.0,0
ACC500002,2025-09-01,897.3,5600,0.1602,25.0,7
ACC500003,2024-10-01,1881.08,19100,0.0985,37.62,0
ACC500003,2024-11-01,3066.12,19100,0.1605,61.32,0
ACC500003,2024-12-01,1976.05,19100,0.1035,39.52,0
ACC500003,2025-01-01,3718.73,19100,0.1947,74.37,0
ACC500003,2025-02-01,3282.21,19100,0.1718,65.64,0
ACC500003,2025-03-01,4489.95,19100,0.2351,89.8,0
ACC500003,2025-04-01,4256.5,19100,0.2229,85.13,1
ACC500003,2025-05-01,4867.63,19100,0.2548,97.35,0
ACC500003,2025-06-01,5933.43,19100,0.3107,118.67,0
ACC500003,2025-07-01,6995.36,19100,0.3662,139.91,0
ACC500003,2025-08-01,6548.9,19100,0.3429,130.98,0
ACC500003,2025-09-01,5893.86,19100,0.3086,117.88,7
ACC500004,2024-10-01,12908.49,20400,0.6328,258.17,0
