payment_id|account_id|payment_date|payment_amount|payment_method
PMT9025077|ACC502541|2025-01-21|560.81|AutoPay
PMT9005297|ACC500283|2025-02-23|73.76|Phone
PMT9026218|ACC502042|2025-06-06|134.53|Phone
PMT9026936|ACC501640|2025-06-08|788.72|AutoPay
PMT9018108|ACC500888|2025-07-08|306.94|AutoPay
PMT9020226|ACC501672|2025-03-06|50.36|Online
PMT9011452|ACC500284|2024-11-01|10.0|AutoPay
PMT9021687|ACC502185|2024-11-08|206.66|AutoPay
PMT9026256|ACC502273|2024-11-10|307.5|Branch
PMT9004342|ACC502153|2025-06-22|121.68|AutoPay
PMT9012222|ACC503236|2024-10-16|21.31|Online
PMT9025829|ACC501459|2024-11-14|247.48|AutoPay
PMT9008824|ACC500585|2025-03-02|41.39|Branch
PMT9009400|ACC503166|2025-01-05|42.1|Online
PMT9010938|ACC501871|2024-12-08|10.0|AutoPay
PMT9005354|ACC503255|2025-01-03|163.81|Branch
PMT9026478|ACC500117|2025-03-11|170.08|Online
PMT9016549|ACC500521|2025-07-21|10.0|AutoPay
PMT9023033|ACC501057|2025-01-15|196.9|Phone
PMT9016476|ACC500386|2025-07-27|28.52|AutoPay
PMT9010277|ACC502251|2025-04-27|28.17|AutoPay
PMT9014391|ACC503186|2025-09-10|145.08|Online
PMT9017122|ACC502298|2025-04-14|78.52|Branch
PMT9013976|ACC503592|2024-11-13|241.27|AutoPay
PMT9011081|ACC503018|2024-10-12|46.8|AutoPay
PMT9021634|ACC500312|2025-07-31|129.08|Online
PMT9026981|ACC500272|2025-09-17|551.78|AutoPay
PMT9024193|ACC500323|2024-11-17|36.78|AutoPay
PMT9004386|ACC502467|2025-07-16|323.32|Mail
PMT9000476|ACC500398|2025-02-05|236.66|Online
PMT9027185|ACC500378|2025-09-19|60.81|AutoPay
PMT9001963|ACC502362|2025-01-25|48.56|Mail
PMT9006765|ACC500011|2025-04-18|10.0|Online
PMT9012408|ACC503554|2025-03-05|158.53|Phone
PMT9024617|ACC500569|2025-09-18|16.66|Branch
PMT9026930|ACC500169|2025-02-12|373.33|AutoPay
PMT9019591|ACC501865|2024-11-21|41.6|Mail
PMT9015885|ACC500141|2025-05-29|50.56|AutoPay
PMT9028241|ACC502836|2024-10-01|150.52|Phone
PMT9026654|ACC500776|2025-06-28|46.64|Mail
PMT9003086|ACC503597|2024-10-13|390.98|Mail
PMT9004485|ACC501898|2025-03-09|460.78|Branch
PMT9028427|ACC500705|2024-11-28|65.67|Online
PMT9016345|ACC502183|2025-05-26|171.46|AutoPay
PMT9002883|ACC501779|2025-05-25|105.05|AutoPay
PMT9022934|ACC500503|2025-02-12|370.8|Online
PMT9003477|ACC500772|2024-11-05|94.45|Mail
PMT9005843|ACC503076|2025-08-27|90.15|AutoPay
PMT9014488|ACC502592|2024-12-27|121.61|AutoPay
PMT9018760|ACC503182|2024-12-06|92.54|Online
PMT9020439|ACC502556|2025-09-19|24.59|Mail
PMT9020252|ACC503345|2024-11-22|10.0|Online
PMT9000324|ACC502368|2025-01-16|17.19|Online
