application_id,bureau_credit_score,enquiries_last_6m,active_credit_accounts,defaults_on_file,months_since_last_delinquency,total_existing_debt,credit_utilization_pct,credit_file_age_months
APP000001,698,1,7,0,,8216.04,7.7,136
APP000002,490,4,5,2,11.0,40969.56,100.0,20
APP000003,736,0,3,0,,14073.68,57.4,91
APP000004,609,2,1,0,,26592.83,39.6,98
APP000005,636,2,3,1,15.0,24384.48,50.8,41
APP000006,675,2,4,0,,17081.66,38.0,98
APP000007,755,3,5,0,,1382.82,59.4,137
APP000008,805,1,3,0,,9168.84,42.8,69
APP000009,625,2,6,1,31.0,14937.5,70.5,140
APP000010,783,1,4,0,,0.0,35.7,175
APP000011,656,6,3,0,,38880.42,74.7,3
APP000012,648,1,1,0,,30430.8,48.4,111
APP000013,637,3,1,0,,19674.87,75.7,199
APP000014,642,3,4,0,,20716.01,48.7,164
APP000015,685,0,4,0,,29189.25,49.9,110
APP000016,704,0,2,0,,0.0,43.8,36
APP000017,692,2,3,0,,0.0,53.7,119
APP000018,631,0,3,0,,12539.39,58.8,60
APP000019,737,1,4,0,,3770.27,32.0,33
APP000020,691,2,2,0,,10624.26,48.2,64
APP000021,528,2,0,0,,49004.16,73.7,112
APP000022,670,6,2,0,,29777.91,27.9,78
APP000023,671,1,2,0,,14590.11,49.2,25
APP000024,705,4,2,0,,7557.38,75.2,126
APP000025,695,0,5,0,,15122.7,43.0,61
APP000026,719,0,1,0,,0.0,17.6,157
APP000027,610,4,1,0,,7868.82,76.9,121
APP000028,548,0,6,2,71.0,37782.57,79.4,145
APP000029,455,7,3,4,22.0,60321.73,100.0,32
APP000030,626,2,2,2,6.0,25475.83,74.3,203
APP000031,675,4,2,0,,8555.04,75.4,112
APP000032,585,1,0,0,,19499.67,38.9,103
APP000033,651,1,1,1,2.0,19902.13,43.9,134
APP000034,813,0,7,0,,1637.84,0.0,28
APP000035,650,2,4,0,,11990.5,59.0,136
APP000036,716,3,1,2,1.0,19918.87,79.6,95
APP000037,701,1,1,0,,25259.29,10.3,112
APP000038,680,1,3,0,,24607.27,32.7,90
APP000039,500,9,1,2,1.0,34748.44,73.5,115
APP000040,692,4,4,0,,15538.59,71.3,55
APP000041,778,1,1,0,,21732.13,31.6,112
APP000042,697,0,3,0,,12506.02,34.5,59
APP000043,836,1,8,0,,0.0,0.0,113
APP000044,689,2,2,0,,18279.0,52.2,129
APP000045,708,1,0,0,,12931.72,50.9,107
APP000046,604,1,4,0,,14305.4,41.7,57
APP000047,495,2,2,0,,35077.36,84.4,55
APP000048,585,5,1,2,7.0,55445.07,100.0,136
APP000049,574,1,3,0,,7553.65,31.3,115
APP000050,833,0,3,0,,0.0,33.9,3
APP000051,606,1,4,0,,13540.34,83.4,62
APP000052,669,1,4,0,,25986.85,79.5,127
APP000053,640,6,7,0,,16432.29,40.4,162
APP000054,666,3,3,0,,26550.91,65.0,22
APP000055,536,5,3,0,,5934.53,36.3,166
APP000056,710,3,1,0,,16944.04,80.4,120
APP000057,669,1,1,1,2.0,34145.04,63.1,86
APP000058,713,0,1,0,,17803.8,11.6,57
APP000059,715,3,5,0,,28065.12,47.5,103
APP000060,701,2,3,0,,30377.44,67.1,124
APP000061,766,2,4,0,,0.0,38.0,79
APP000062,762,0,6,0,,10697.23,88.7,104
APP000063,742,1,1,0,,18737.72,49.3,98
APP000064,594,1,2,0,,37181.98,58.6,78
APP000065,634,1,1,0,,3532.42,81.6,109
APP000066,660,4,1,0,,3187.53,46.4,114
APP000067,705,1,4,0,,26100.93,36.7,93
APP000068,696,0,7,0,,21105.57,39.0,153
APP000069,706,5,1,0,,9790.35,15.5,3
APP000070,577,3,2,1,67.0,27661.67,79.3,112
APP000071,812,2,9,0,,0.0,17.0,22
APP000072,900,0,5,0,,0.0,0.0,117
APP000073,677,1,3,0,,29339.41,40.0,60
APP000074,745,2,6,0,,17722.81,68.9,108
APP000075,701,1,1,0,,28360.09,44.0,104
APP000076,794,3,2,0,,1263.84,30.0,78
APP000077,570,6,0,1,17.0,22971.73,39.5,30
APP000078,745,3,2,0,,9769.35,46.1,114
APP000079,776,1,2,0,,15913.85,16.9,89
APP000080,729,1,4,0,,10345.34,30.6,165
APP000081,740,3,3,0,,10127.42,44.5,167
APP000082,703,0,5,0,,27502.23,42.8,117
APP000083,758,0,7,0,,13491.73,0.0,143
APP000084,444,4,3,2,13.0,31036.77,100.0,3
APP000085,773,2,3,0,,18401.33,21.0,78
APP000086,858,2,6,0,,4315.94,54.1,140
APP000087,655,2,7,1,8.0,18799.18,43.5,223
APP000088,649,8,1,3,22.0,35286.64,66.9,90
APP000089,853,1,8,0,,25576.75,9.4,87
APP000090,816,3,7,0,,0.0,0.0,47
APP000091,839,2,5,0,,15042.7,33.6,4
APP000092,642,0,2,0,,19062.96,26.3,25
APP000093,781,0,10,0,,6236.57,24.0,88
APP000094,662,4,3,1,1.0,32253.09,57.0,53
APP000095,647,0,2,0,,22447.67,34.6,125
APP000096,709,2,6,0,,0.0,39.5,69
APP000097,707,1,3,0,,15648.96,78.6,86
APP000098,699,6,2,0,,37096.42,100.0,3
APP000099,751,1,2,0,,13416.96,56.8,100
APP000100,718,1,4,0,,3988.56,0.0,64
APP000101,522,3,1,2,19.0,24574.21,100.0,101
APP000102,759,2,3,0,,0.0,50.0,132
APP000103,714,0,3,0,,37376.11,62.0,192
APP000104,753,3,4,0,,6315.75,70.4,35
APP000105,656,3,0,3,1.0,32289.37,95.7,160
APP000106,823,1,0,0,,0.0,36.7,68
APP000107,647,0,1,0,,30753.36,13.9,157
APP000108,752,2,3,0,,949.6,63.3,79
APP000109,742,4,7,0,,0.0,76.5,83
APP000110,818,3,1,0,,13228.64,0.0,143
APP000111,742,1,8,0,,0.0,22.1,44
APP000112,670,0,6,0,,10605.94,51.4,36
APP000113,648,3,6,0,,13699.49,82.2,34
APP000114,526,2,1,0,,31033.95,87.2,19
APP000115,744,2,3,0,,822.9,4.0,175
APP000116,784,0,7,0,,6656.28,8.9,117
APP000117,873,0,8,0,,0.0,15.3,53
APP000118,703,4,4,0,,10440.94,47.8,69
APP000119,774,0,7,0,,509.24,5.3,115
APP000120,753,0,1,0,,10780.12,51.4,113
APP000121,679,0,3,0,,0.0,31.0,49
APP000122,677,0,0,0,,15185.23,0.0,88
APP000123,630,4,2,0,,35515.68,85.3,92
APP000124,834,1,3,0,,13581.65,7.1,3
APP000125,779,1,5,0,,2021.74,37.9,180
APP000126,691,1,3,0,,17353.75,21.4,101
APP000127,732,3,4,0,,15538.83,36.4,171
APP000128,619,4,1,0,,24517.09,35.7,69
APP000129,562,2,3,1,49.0,17636.21,70.6,103
APP000130,689,2,3,0,,18419.3,36.4,112
APP000131,655,1,4,0,,14809.84,21.2,101
APP000132,650,3,2,0,,10383.37,31.1,119
APP000133,830,1,4,0,,0.0,7.1,116
APP000134,586,2,1,0,,32170.2,100.0,142
APP000135,661,1,6,0,,7627.31,30.2,109
APP000136,645,1,3,0,,10513.19,39.9,70
APP000137,680,2,3,0,,8040.58,71.6,39
APP000138,799,0,3,0,,1213.47,44.7,94
APP000139,640,3,7,0,,27296.7,60.8,87
APP000140,818,0,3,0,,10732.69,0.0,175
APP000141,650,0,1,0,,17103.31,43.5,93
APP000142,752,1,4,0,,1982.82,67.4,138
APP000143,691,0,3,0,,18437.11,29.1,98
APP000144,619,1,2,0,,12951.5,24.9,136
APP000145,703,2,3,0,,11332.25,13.0,34
APP000146,724,1,5,0,,0.0,0.0,78
APP000147,733,0,2,0,,23774.2,81.5,118
APP000148,605,1,4,0,,0.0,77.6,3
APP000149,808,1,5,0,,7308.12,19.3,118
APP000150,749,3,2,0,,0.0,37.2,72
APP000151,770,2,6,0,,1935.66,40.2,149
APP000152,549,2,1,1,20.0,40424.5,98.0,149
APP000153,705,2,3,0,,11946.9,90.0,126
APP000154,721,0,4,0,,28385.26,14.0,132
APP000155,711,0,2,0,,2944.94,69.1,94
APP000156,654,4,2,3,2.0,23017.63,51.5,128
APP000157,733,3,4,0,,16407.55,18.9,47
APP000158,623,1,4,0,,12472.94,64.2,174
APP000159,597,6,3,3,9.0,29403.17,100.0,80
APP000160,537,6,2,3,3.0,29852.09,88.1,55
APP000161,605,2,4,0,,18238.83,48.8,161
APP000162,607,4,5,0,,21591.35,84.3,72
APP000163,593,6,0,2,16.0,39555.71,68.0,103
APP000164,577,2,4,2,10.0,41913.37,97.9,100
APP000165,708,4,2,0,,12034.63,73.3,3
APP000166,784,1,2,0,,20644.97,9.2,90
APP000167,556,4,3,0,,27927.66,42.9,121
APP000168,729,2,5,0,,6948.74,48.9,38
APP000169,634,1,6,0,,4869.57,80.6,145
APP000170,720,0,5,0,,2209.25,61.2,63
APP000171,572,5,4,1,9.0,27096.84,34.9,103
APP000172,652,1,6,0,,10398.52,2.4,54
APP000173,659,3,1,0,,34510.27,42.1,131
APP000174,674,3,5,0,,8538.63,38.0,113
APP000175,823,1,0,0,,23953.63,64.1,113
APP000176,677,2,2,1,69.0,22438.22,63.0,139
APP000177,659,5,2,0,,15222.1,10.9,159
APP000178,823,3,4,0,,0.0,4.8,128
APP000179,702,0,6,0,,32482.63,27.7,87
APP000180,754,1,3,0,,4008.54,22.3,100
APP000181,576,3,5,1,22.0,29594.57,99.2,126
APP000182,642,1,6,0,,27314.1,75.3,91
APP000183,715,1,1,0,,3492.07,36.9,172
APP000184,629,1,3,0,,25643.94,0.0,101
APP000185,713,0,6,0,,18354.12,18.2,78
APP000186,727,5,2,0,,20707.6,40.6,89
APP000187,729,2,8,0,,6466.48,36.8,139
APP000188,608,7,1,0,,27991.55,96.8,108
APP000189,595,1,2,0,,23917.19,44.5,30
APP000190,636,3,2,0,,34161.07,30.7,10
APP000191,705,3,1,0,,19882.92,42.1,141
APP000192,830,1,4,0,,22209.75,82.3,119
APP000193,841,1,3,0,,5471.39,26.2,166
APP000194,659,0,1,0,,23654.68,30.4,105
APP000195,732,2,5,0,,0.0,17.2,117
APP000196,659,5,6,0,,25967.85,37.0,88
APP000197,734,2,3,0,,31.12,71.3,154
APP000198,569,3,1,0,,13756.78,64.8,153
APP000199,610,0,2,0,,13961.71,44.1,74
APP000200,586,2,3,0,,17132.85,70.1,64
APP000201,586,6,5,2,24.0,31230.82,89.7,110
APP000202,671,4,2,0,,30959.55,100.0,96
APP000203,489,5,2,3,12.0,52638.68,68.0,73
APP000204,710,3,5,1,11.0,9895.86,58.0,102
APP000205,509,2,3,3,120.0,38056.44,99.1,146
APP000206,666,2,3,0,,31754.66,66.0,112
APP000207,705,0,4,0,,4147.36,22.3,116
APP000208,761,2,1,0,,8216.84,53.6,155
APP000209,702,2,4,0,,14784.32,65.9,115
APP000210,692,1,4,0,,42479.34,74.8,78
APP000211,685,3,4,0,,25974.72,70.6,136
APP000212,651,1,5,0,,15715.5,28.5,29
APP000213,697,2,8,1,4.0,5250.55,84.0,176
APP000214,691,1,2,0,,22305.59,71.6,136
APP000215,846,2,5,0,,26593.0,8.9,107
APP000216,652,3,3,1,16.0,17039.26,63.6,131
APP000217,701,2,3,0,,17698.49,29.5,71
APP000218,703,0,5,0,,0.0,23.2,22
APP000219,698,2,3,0,,16372.56,39.3,158
APP000220,613,3,2,3,2.0,16764.14,99.1,79
APP000221,632,2,4,0,,0.0,68.6,148
APP000222,743,1,5,0,,16571.0,18.9,147
APP000223,703,2,2,0,,28155.31,100.0,29
APP000224,773,2,6,0,,3848.59,57.3,88
APP000225,807,2,3,0,,8035.12,0.0,108
APP000226,850,2,3,0,,16968.07,43.6,121
APP000227,655,2,4,0,,29067.6,41.2,106
APP000228,794,3,1,0,,3947.55,17.4,174
APP000229,586,2,5,0,,21255.35,40.5,57
APP000230,791,0,5,0,,2239.37,40.4,86
APP000231,720,4,3,0,,25330.72,67.4,74
APP000232,798,1,5,0,,11702.42,0.0,73
APP000233,564,5,4,2,30.0,31484.48,90.4,173
APP000234,753,0,3,0,,22458.41,34.6,70
APP000235,845,0,7,0,,13576.89,4.5,107
APP000236,669,2,4,0,,7685.17,67.0,39
APP000237,897,1,4,0,,10123.84,44.8,70
APP000238,614,3,5,0,,28641.83,84.2,94
APP000239,732,1,2,0,,0.0,31.4,122
