application_id,customer_id,application_date,loan_purpose,loan_amount_requested,term_months,interest_rate_offered,channel
APP000001,CUST004585,2024-12-25,Home Renovation,4500,36,12.7,Branch
APP000002,CUST004185,2023-03-19,Home Renovation,21500,36,19.86,Broker
APP000003,CUST003203,2024-05-28,Debt Consolidation,11500,48,17.41,Online
APP000004,CUST005052,2024-08-15,Debt Consolidation,46000,48,16.67,Broker
APP000005,CUST004903,2023-03-11,Medical,23500,48,14.92,Broker
APP000006,CUST003890,2023-08-19,Home Renovation,29500,24,18.28,Online
APP000007,CUST001159,2024-06-23,Home Renovation,3000,36,20.09,Online
APP000008,CUST002856,2024-07-24,Debt Consolidation,33500,36,11.86,Online
APP000009,CUST004673,2023-04-19,Home Renovation,23500,12,10.14,Online
APP000010,CUST001316,2023-09-07,Home Renovation,29000,36,12.92,Online
APP000011,CUST002802,2024-12-01,Home Renovation,43500,36,14.14,Online
APP000012,CUST004910,2024-04-06,Debt Consolidation,39500,36,11.06,Branch
APP000013,CUST001582,2024-02-16,Travel,35000,36,15.7,Broker
APP000014,CUST000454,2023-12-22,Car Purchase,25500,24,18.55,Online
APP000015,CUST001183,2023-09-07,Medical,28000,24,21.29,Online
APP000016,CUST004095,2023-08-24,Wedding,34500,36,9.06,Online
APP000017,CUST004133,2024-01-16,Home Renovation,7000,24,12.75,Branch
APP000018,CUST000820,2023-07-03,Car Purchase,34000,24,19.3,Online
APP000019,CUST004547,2023-02-05,Debt Consolidation,30500,36,20.23,Broker
APP000020,CUST005714,2023-07-24,Home Renovation,44000,36,8.01,Online
APP000021,CUST000323,2023-10-31,Car Purchase,27500,36,18.06,Broker
APP000022,CUST002555,2023-03-29,Wedding,28500,24,13.81,Broker
APP000023,CUST004089,2023-01-24,Wedding,8500,12,15.33,Online
APP000024,CUST002571,2024-12-27,Car Purchase,25000,24,13.94,Online
APP000025,CUST003409,2023-08-10,Car Purchase,19500,60,19.37,Online
APP000026,CUST003986,2023-04-29,Travel,49500,36,22.32,Branch
APP000027,CUST004619,2023-03-05,Debt Consolidation,4000,24,16.27,Branch
APP000028,CUST004563,2024-03-17,Other,18000,60,11.57,Branch
APP000029,CUST000168,2023-03-31,Home Renovation,47500,36,20.42,Broker
APP000030,CUST002242,2023-07-11,Debt Consolidation,31000,24,12.49,Broker
APP000031,CUST005277,2024-07-09,Debt Consolidation,9000,24,11.63,Online
APP000032,CUST003608,2023-07-20,Car Purchase,10000,60,8.18,Broker
APP000033,CUST004956,2024-06-24,Debt Consolidation,27500,48,21.78,Branch
APP000034,CUST001784,2023-08-30,Debt Consolidation,21000,36,12.87,Broker
APP000035,CUST002871,2023-07-09,Debt Consolidation,9500,24,17.56,Online
APP000036,CUST000080,2024-12-23,Debt Consolidation,8000,36,15.69,Branch
APP000037,CUST003571,2024-06-17,Wedding,28500,36,8.56,Online
APP000038,CUST000764,2024-08-10,Home Renovation,12000,12,8.56,Broker
APP000039,CUST000967,2024-06-10,Home Renovation,30500,24,20.43,Online
APP000040,CUST004865,2024-08-30,Debt Consolidation,31000,36,7.71,Online
APP000041,CUST005146,2024-05-02,Wedding,21000,60,21.0,Online
APP000042,CUST002905,2024-03-27,Debt Consolidation,17000,12,17.41,Online
APP000043,CUST001902,2023-10-15,Debt Consolidation,22500,48,16.38,Branch
APP000044,CUST001057,2023-07-03,Debt Consolidation,48000,36,11.09,Branch
APP000045,CUST005844,2024-01-29,Medical,22500,36,19.97,Online
APP000046,CUST000542,2023-06-05,Debt Consolidation,32000,36,20.78,Branch
APP000047,CUST001940,2023-07-18,Debt Consolidation,39000,36,12.78,Branch
APP000048,CUST005542,2024-07-05,Debt Consolidation,47000,36,15.58,Online
APP000049,CUST000419,2024-04-03,Debt Consolidation,18000,48,11.41,Online
APP000050,CUST000594,2023-02-23,Debt Consolidation,23000,36,20.79,Broker
APP000051,CUST001732,2023-04-16,Debt Consolidation,33500,36,20.97,Branch
APP000052,CUST003222,2024-01-06,Wedding,5000,24,13.82,Branch
APP000053,CUST002014,2024-09-03,Travel,44000,60,10.81,Online
APP000054,CUST005663,2024-06-14,Debt Consolidation,5000,60,12.35,Broker
APP000055,CUST003324,2023-12-27,Travel,22000,12,10.93,Online
APP000056,CUST002218,2024-12-05,Debt Consolidation,10500,36,20.67,Online
APP000057,CUST003225,2023-06-26,Wedding,9500,36,12.7,Online
APP000058,CUST004432,2023-07-16,Medical,32500,48,9.79,Broker
APP000059,CUST001261,2023-10-25,Travel,5500,36,13.8,Online
