application_id,mob,performance_date,dpd_bucket,current_dpd,balance_outstanding
APP000001,1,2025-01-25,0,0,4568.0
APP000001,2,2025-02-25,0,0,4406.35
APP000001,3,2025-03-25,0,0,3957.89
APP000001,4,2025-04-25,0,0,4198.07
APP000001,5,2025-05-25,0,0,3973.86
APP000001,6,2025-06-25,0,0,3710.56
APP000001,7,2025-07-25,1,15,3697.79
APP000001,8,2025-08-25,1,15,3593.63
APP000001,9,2025-09-25,1,15,3437.41
APP000002,1,2023-04-19,1,15,20919.53
APP000002,2,2023-05-19,2,45,20752.68
APP000002,3,2023-06-19,3,75,19252.82
APP000002,4,2023-07-19,4,95,18338.85
APP000002,5,2023-08-19,4,95,18338.85
APP000002,6,2023-09-19,4,95,18338.85
APP000002,7,2023-10-19,4,95,18338.85
APP000002,8,2023-11-19,4,95,18338.85
APP000002,9,2023-12-19,4,95,18338.85
APP000002,10,2024-01-19,4,95,18338.85
APP000002,11,2024-02-19,4,95,18338.85
APP000002,12,2024-03-19,4,95,18338.85
APP000002,13,2024-04-19,4,95,18338.85
APP000002,14,2024-05-19,4,95,18338.85
APP000002,15,2024-06-19,4,95,18338.85
APP000002,16,2024-07-19,4,95,18338.85
APP000002,17,2024-08-19,4,95,18338.85
APP000002,18,2024-09-19,4,95,18338.85
APP000002,19,2024-10-19,4,95,18338.85
APP000002,20,2024-11-19,4,95,18338.85
APP000002,21,2024-12-19,4,95,18338.85
APP000002,22,2025-01-19,4,95,18338.85
APP000002,23,2025-02-19,4,95,18338.85
APP000002,24,2025-03-19,4,95,18338.85
APP000002,25,2025-04-19,4,95,18338.85
APP000002,26,2025-05-19,4,95,18338.85
APP000002,27,2025-06-19,4,95,18338.85
APP000002,28,2025-07-19,4,95,18338.85
APP000002,29,2025-08-19,4,95,18338.85
APP000002,30,2025-09-19,4,95,18338.85
APP000003,1,2024-06-28,0,0,11536.93
APP000003,2,2024-07-28,0,0,10708.0
APP000003,3,2024-08-28,0,0,10705.43
APP000003,4,2024-09-28,0,0,10678.58
APP000003,5,2024-10-28,0,0,10334.09
APP000003,6,2024-11-28,0,0,9680.98
APP000003,7,2024-12-28,0,0,9727.36
APP000003,8,2025-01-28,0,0,9840.12
APP000003,9,2025-02-28,0,0,9212.76
APP000003,10,2025-03-28,0,0,9547.47
APP000003,11,2025-04-28,0,0,8770.59
APP000003,12,2025-05-28,0,0,8782.69
APP000003,13,2025-06-28,0,0,8607.91
APP000003,14,2025-07-28,0,0,8333.37
APP000003,15,2025-08-28,0,0,8119.34
APP000003,16,2025-09-28,0,0,7555.68
APP000004,1,2024-09-15,0,0,47228.07
APP000004,2,2024-10-15,0,0,44019.1
APP000004,3,2024-11-15,0,0,44250.93
APP000004,4,2024-12-15,0,0,42287.34
APP000004,5,2025-01-15,0,0,41041.94
APP000004,6,2025-02-15,0,0,40612.09
APP000004,7,2025-03-15,0,0,37782.4
APP000004,8,2025-04-15,0,0,37244.0
APP000004,9,2025-05-15,0,0,36270.74
APP000004,10,2025-06-15,0,0,38157.99
APP000004,11,2025-07-15,0,0,35941.62
APP000004,12,2025-08-15,0,0,35457.44
APP000004,13,2025-09-15,0,0,33376.85
APP000005,1,2023-04-11,0,0,22955.37
APP000005,2,2023-05-11,1,15,22419.5
APP000005,3,2023-06-11,1,15,21122.41
APP000005,4,2023-07-11,2,45,22064.38
APP000005,5,2023-08-11,1,15,21736.41
APP000005,6,2023-09-11,1,15,20806.43
APP000005,7,2023-10-11,0,0,20238.3
APP000005,8,2023-11-11,0,0,20381.56
APP000005,9,2023-12-11,0,0,18274.93
APP000005,10,2024-01-11,0,0,18419.84
APP000005,11,2024-02-11,0,0,18511.31
APP000005,12,2024-03-11,0,0,17660.75
APP000005,13,2024-04-11,0,0,17243.59
APP000005,14,2024-05-11,0,0,15848.79
APP000005,15,2024-06-11,0,0,16779.44
APP000005,16,2024-07-11,0,0,16078.75
APP000005,17,2024-08-11,0,0,15584.65
APP000005,18,2024-09-11,0,0,14806.07
APP000005,19,2024-10-11,0,0,13509.21
APP000005,20,2024-11-11,0,0,14285.05
APP000005,21,2024-12-11,0,0,12846.69
APP000005,22,2025-01-11,0,0,12437.55
APP000005,23,2025-02-11,0,0,12116.34
APP000005,24,2025-03-11,0,0,12072.38
APP000005,25,2025-04-11,0,0,11326.07
APP000005,26,2025-05-11,0,0,10289.97
APP000005,27,2025-06-11,0,0,10376.32
APP000005,28,2025-07-11,0,0,9664.21
APP000005,29,2025-08-11,1,15,9162.96
APP000005,30,2025-09-11,1,15,8777.82
APP000006,1,2023-09-19,0,0,29508.9
APP000006,2,2023-10-19,0,0,25899.98
APP000006,3,2023-11-19,0,0,25232.45
APP000006,4,2023-12-19,0,0,23488.03
APP000006,5,2024-01-19,0,0,23074.97
APP000006,6,2024-02-19,0,0,21808.45
APP000006,7,2024-03-19,0,0,20602.33
